PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
[1471412521.608193] no answer yet for icmp_seq=1
[1471412531.613950] no answer yet for icmp_seq=2
[1471412531.630043] 64 bytes from 8.8.8.8: icmp_seq=3 ttl=56 time=15.9 ms
[1471412551.632105] no answer yet for icmp_seq=4
[1471412561.639970] no answer yet for icmp_seq=5
[1471412571.648140] no answer yet for icmp_seq=6
PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
[1471412577.968107] no answer yet for icmp_seq=1
[1471412581.656176] no answer yet for icmp_seq=7
[1471412587.968850] no answer yet for icmp_seq=2
[1471412587.981250] 64 bytes from 8.8.8.8: icmp_seq=3 ttl=56 time=12.1 ms
[1471412591.664131] no answer yet for icmp_seq=8
[1471412591.675727] 64 bytes from 8.8.8.8: icmp_seq=9 ttl=56 time=11.4 ms
[1471412607.984113] no answer yet for icmp_seq=4
[1471412611.673911] no answer yet for icmp_seq=10
[1471412617.992161] no answer yet for icmp_seq=5
[1471412621.673905] no answer yet for icmp_seq=11
[1471412628.000120] no answer yet for icmp_seq=6
[1471412631.673939] no answer yet for icmp_seq=12
[1471412638.008121] no answer yet for icmp_seq=7
[1471412641.673899] no answer yet for icmp_seq=13
PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
[1471412643.008116] no answer yet for icmp_seq=1
[1471412648.016039] no answer yet for icmp_seq=8
[1471412648.032451] 64 bytes from 8.8.8.8: icmp_seq=9 ttl=56 time=16.1 ms
[1471412651.673879] no answer yet for icmp_seq=14
[1471412651.688114] 64 bytes from 8.8.8.8: icmp_seq=15 ttl=56 time=14.0 ms
[1471412653.015524] no answer yet for icmp_seq=2
[1471412653.031407] 64 bytes from 8.8.8.8: icmp_seq=3 ttl=56 time=15.5 ms
PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
[1471412654.181532] no answer yet for icmp_seq=1
[1471412654.199912] 64 bytes from 8.8.8.8: icmp_seq=2 ttl=56 time=18.1 ms
[1471412658.037194] 64 bytes from 8.8.8.8: icmp_seq=10 ttl=56 time=10.4 ms
[1471412671.692096] no answer yet for icmp_seq=16
[1471412673.022005] no answer yet for icmp_seq=4
PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
[1471412673.797956] no answer yet for icmp_seq=1
[1471412674.200195] no answer yet for icmp_seq=3
[1471412678.044192] no answer yet for icmp_seq=11
[1471412681.700108] no answer yet for icmp_seq=17
[1471412683.021913] no answer yet for icmp_seq=5
[1471412683.797957] no answer yet for icmp_seq=2
[1471412684.208093] no answer yet for icmp_seq=4
[1471412688.052074] no answer yet for icmp_seq=12
[1471412691.708184] no answer yet for icmp_seq=18
[1471412693.021912] no answer yet for icmp_seq=6
[1471412693.797970] no answer yet for icmp_seq=3
[1471412694.216142] no answer yet for icmp_seq=5
[1471412698.060148] no answer yet for icmp_seq=13
[1471412701.716017] no answer yet for icmp_seq=19
[1471412703.021917] no answer yet for icmp_seq=7
[1471412703.797897] no answer yet for icmp_seq=4
[1471412704.224145] no answer yet for icmp_seq=6

--- 8.8.8.8 ping statistics ---
5 packets transmitted, 0 received, 100% packet loss, time 39999ms

[1471412708.068200] no answer yet for icmp_seq=14
[1471412711.724212] no answer yet for icmp_seq=20
[1471412713.022020] no answer yet for icmp_seq=8
[1471412713.055408] 64 bytes from 8.8.8.8: icmp_seq=9 ttl=56 time=33.1 ms
[1471412714.232186] no answer yet for icmp_seq=7
[1471412714.246513] 64 bytes from 8.8.8.8: icmp_seq=8 ttl=56 time=14.1 ms
PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
[1471412717.531582] no answer yet for icmp_seq=1
[1471412717.541926] 64 bytes from 8.8.8.8: icmp_seq=2 ttl=56 time=10.0 ms
[1471412718.076132] no answer yet for icmp_seq=15
[1471412718.102045] 64 bytes from 8.8.8.8: icmp_seq=16 ttl=56 time=25.7 ms
[1471412721.725913] no answer yet for icmp_seq=21
[1471412731.725969] no answer yet for icmp_seq=22
[1471412733.040098] no answer yet for icmp_seq=10
[1471412734.244077] no answer yet for icmp_seq=9
[1471412737.541914] no answer yet for icmp_seq=3
[1471412738.088210] no answer yet for icmp_seq=17
[1471412741.725980] no answer yet for icmp_seq=23
[1471412743.048163] no answer yet for icmp_seq=11
[1471412744.252158] no answer yet for icmp_seq=10
[1471412747.541931] no answer yet for icmp_seq=4
[1471412748.096213] no answer yet for icmp_seq=18
[1471412751.725976] no answer yet for icmp_seq=24
[1471412753.049976] no answer yet for icmp_seq=12
[1471412754.260069] no answer yet for icmp_seq=11
[1471412757.541980] no answer yet for icmp_seq=5
[1471412758.104210] no answer yet for icmp_seq=19
[1471412761.725976] no answer yet for icmp_seq=25
[1471412763.049981] no answer yet for icmp_seq=13
[1471412764.268099] no answer yet for icmp_seq=12
[1471412767.541989] no answer yet for icmp_seq=6
[1471412768.112126] no answer yet for icmp_seq=20
[1471412771.726010] no answer yet for icmp_seq=26
[1471412773.049967] no answer yet for icmp_seq=14
[1471412773.062729] 64 bytes from 8.8.8.8: icmp_seq=15 ttl=56 time=12.5 ms
[1471412774.276147] no answer yet for icmp_seq=13
[1471412774.318275] 64 bytes from 8.8.8.8: icmp_seq=14 ttl=56 time=41.9 ms
[1471412777.541921] no answer yet for icmp_seq=7
[1471412778.120137] no answer yet for icmp_seq=21
[1471412781.726017] no answer yet for icmp_seq=27

--- 8.8.8.8 ping statistics ---
8 packets transmitted, 1 received, 87% packet loss, time 70015ms
rtt min/avg/max/mdev = 10.091/10.091/10.091/0.000 ms
[1471412788.128169] no answer yet for icmp_seq=22
[1471412791.726038] no answer yet for icmp_seq=28
[1471412793.060240] no answer yet for icmp_seq=16
[1471412794.292192] no answer yet for icmp_seq=15
PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
[1471412795.961974] no answer yet for icmp_seq=1
[1471412798.136145] no answer yet for icmp_seq=23
[1471412801.725887] no answer yet for icmp_seq=29
[1471412803.068154] no answer yet for icmp_seq=17
[1471412804.300008] no answer yet for icmp_seq=16
[1471412805.961891] no answer yet for icmp_seq=2
[1471412808.144060] no answer yet for icmp_seq=24
[1471412811.725913] no answer yet for icmp_seq=30
[1471412813.076010] no answer yet for icmp_seq=18
[1471412814.308043] no answer yet for icmp_seq=17
[1471412815.961894] no answer yet for icmp_seq=3
